source,filename,rows,extracted_at,checksum,params
BTS,bts_2024_01.csv,115790,2026-06-15T22:51:55.267408+00:00,eb8a642935e78967,"year=2024,month=1,airports=['AEX', 'ATL', 'BTR', 'DFW', 'GPT', 'IAH', 'LFT', 'MLU', 'SHV']"
BTS,bts_2024_02.csv,110081,2026-06-15T22:52:21.561518+00:00,b4dc072d4efe13f0,"year=2024,month=2,airports=['AEX', 'ATL', 'BTR', 'DFW', 'GPT', 'IAH', 'LFT', 'MLU', 'SHV']"
BTS,bts_2024_03.csv,125028,2026-06-15T22:52:54.064393+00:00,7980464eff6ed3a9,"year=2024,month=3,airports=['AEX', 'ATL', 'BTR', 'DFW', 'GPT', 'IAH', 'LFT', 'MLU', 'SHV']"
BTS,bts_2024_04.csv,123213,2026-06-15T22:53:24.829483+00:00,c5c2538a6dae1d11,"year=2024,month=4,airports=['AEX', 'ATL', 'BTR', 'DFW', 'GPT', 'IAH', 'LFT', 'MLU', 'SHV']"
BTS,bts_2024_05.csv,132043,2026-06-15T22:53:55.609004+00:00,c3a8e000c318535f,"year=2024,month=5,airports=['AEX', 'ATL', 'BTR', 'DFW', 'GPT', 'IAH', 'LFT', 'MLU', 'SHV']"
BTS,bts_2024_06.csv,132053,2026-06-15T22:54:26.477398+00:00,7fd8b588d40102a9,"year=2024,month=6,airports=['AEX', 'ATL', 'BTR', 'DFW', 'GPT', 'IAH', 'LFT', 'MLU', 'SHV']"
BTS,bts_2024_07.csv,137008,2026-06-15T22:55:00.183512+00:00,663b5dbdcc28fa61,"year=2024,month=7,airports=['AEX', 'ATL', 'BTR', 'DFW', 'GPT', 'IAH', 'LFT', 'MLU', 'SHV']"
BTS,bts_2024_08.csv,133086,2026-06-15T22:55:30.832025+00:00,ce7d9f7ff25ba1c5,"year=2024,month=8,airports=['AEX', 'ATL', 'BTR', 'DFW', 'GPT', 'IAH', 'LFT', 'MLU', 'SHV']"
BTS,bts_2024_09.csv,125830,2026-06-15T22:56:00.227865+00:00,ab61aeb269824da1,"year=2024,month=9,airports=['AEX', 'ATL', 'BTR', 'DFW', 'GPT', 'IAH', 'LFT', 'MLU', 'SHV']"
BTS,bts_2024_10.csv,133590,2026-06-15T22:56:29.872046+00:00,782f447757de6ad0,"year=2024,month=10,airports=['AEX', 'ATL', 'BTR', 'DFW', 'GPT', 'IAH', 'LFT', 'MLU', 'SHV']"
BTS,bts_2024_11.csv,123415,2026-06-15T22:56:58.412358+00:00,789d79c355a519f9,"year=2024,month=11,airports=['AEX', 'ATL', 'BTR', 'DFW', 'GPT', 'IAH', 'LFT', 'MLU', 'SHV']"
BTS,bts_2024_12.csv,126732,2026-06-15T22:57:28.201181+00:00,39e70d0826c10692,"year=2024,month=12,airports=['AEX', 'ATL', 'BTR', 'DFW', 'GPT', 'IAH', 'LFT', 'MLU', 'SHV']"
BTS,bts_2025_01.csv,114456,2026-06-15T22:57:55.179163+00:00,835d5ece4a4bd8ca,"year=2025,month=1,airports=['AEX', 'ATL', 'BTR', 'DFW', 'GPT', 'IAH', 'LFT', 'MLU', 'SHV']"
BTS,bts_2025_02.csv,106060,2026-06-15T22:58:23.415924+00:00,3f3dadc6004c06b5,"year=2025,month=2,airports=['AEX', 'ATL', 'BTR', 'DFW', 'GPT', 'IAH', 'LFT', 'MLU', 'SHV']"
BTS,bts_2025_03.csv,124588,2026-06-15T22:58:54.186669+00:00,2473fe999a27da25,"year=2025,month=3,airports=['AEX', 'ATL', 'BTR', 'DFW', 'GPT', 'IAH', 'LFT', 'MLU', 'SHV']"
BTS,bts_2025_04.csv,119261,2026-06-15T22:59:23.134205+00:00,cd72b0f5413948c4,"year=2025,month=4,airports=['AEX', 'ATL', 'BTR', 'DFW', 'GPT', 'IAH', 'LFT', 'MLU', 'SHV']"
BTS,bts_2025_05.csv,127221,2026-06-15T22:59:53.540170+00:00,4955f5060c37f618,"year=2025,month=5,airports=['AEX', 'ATL', 'BTR', 'DFW', 'GPT', 'IAH', 'LFT', 'MLU', 'SHV']"
BTS,bts_2025_06.csv,129671,2026-06-15T23:00:29.624234+00:00,064228060cce646a,"year=2025,month=6,airports=['AEX', 'ATL', 'BTR', 'DFW', 'GPT', 'IAH', 'LFT', 'MLU', 'SHV']"
BTS,bts_2025_07.csv,133318,2026-06-15T23:01:01.908284+00:00,d94c1fe2887e4afc,"year=2025,month=7,airports=['AEX', 'ATL', 'BTR', 'DFW', 'GPT', 'IAH', 'LFT', 'MLU', 'SHV']"
BTS,bts_2025_08.csv,126422,2026-06-15T23:01:32.539520+00:00,66b076bf097c2dca,"year=2025,month=8,airports=['AEX', 'ATL', 'BTR', 'DFW', 'GPT', 'IAH', 'LFT', 'MLU', 'SHV']"
BTS,bts_2025_09.csv,119755,2026-06-15T23:02:03.919990+00:00,cffab66d026538a1,"year=2025,month=9,airports=['AEX', 'ATL', 'BTR', 'DFW', 'GPT', 'IAH', 'LFT', 'MLU', 'SHV']"
BTS,bts_2025_10.csv,127471,2026-06-15T23:02:37.620634+00:00,1798eeb539ba6f4d,"year=2025,month=10,airports=['AEX', 'ATL', 'BTR', 'DFW', 'GPT', 'IAH', 'LFT', 'MLU', 'SHV']"
BTS,bts_2025_11.csv,119647,2026-06-15T23:03:07.088627+00:00,43ad406126d21d1e,"year=2025,month=11,airports=['AEX', 'ATL', 'BTR', 'DFW', 'GPT', 'IAH', 'LFT', 'MLU', 'SHV']"
BTS,bts_2025_12.csv,120749,2026-06-15T23:03:37.410650+00:00,eae2c9ddd4217cc7,"year=2025,month=12,airports=['AEX', 'ATL', 'BTR', 'DFW', 'GPT', 'IAH', 'LFT', 'MLU', 'SHV']"
