dimension,row_count,check
2024-01,1078.0,bts_rows_by_month
2024-02,1054.0,bts_rows_by_month
2024-03,1217.0,bts_rows_by_month
2024-04,1176.0,bts_rows_by_month
2024-05,1170.0,bts_rows_by_month
2024-06,1222.0,bts_rows_by_month
2024-07,1316.0,bts_rows_by_month
2024-08,1259.0,bts_rows_by_month
2024-09,1167.0,bts_rows_by_month
2024-10,1248.0,bts_rows_by_month
2024-11,1232.0,bts_rows_by_month
2024-12,1248.0,bts_rows_by_month
2025-01,1015.0,bts_rows_by_month
2025-02,892.0,bts_rows_by_month
2025-03,1045.0,bts_rows_by_month
2025-04,1167.0,bts_rows_by_month
2025-05,1418.0,bts_rows_by_month
2025-06,1363.0,bts_rows_by_month
2025-07,1381.0,bts_rows_by_month
2025-08,1360.0,bts_rows_by_month
2025-09,1287.0,bts_rows_by_month
2025-10,1377.0,bts_rows_by_month
2025-11,1360.0,bts_rows_by_month
2025-12,1281.0,bts_rows_by_month
2026-01,1157.0,bts_rows_by_month
2026-02,1003.0,bts_rows_by_month
2026-03,1230.0,bts_rows_by_month
2026-04,1238.0,bts_rows_by_month
total_flights,33961.0,weather_join
dep_wx_matched,29129.0,weather_join
arr_wx_matched,29265.0,weather_join
dep_match_rate,0.8577,weather_join
arr_match_rate,0.8617,weather_join
total_cancellations,950.0,cancellation_qa
weather_cancellations_bts_code_B,732.0,cancellation_qa
weather_bucket,0.0,null_rate
aa_regional_basket/adverse/baseline,1330.0,sample_size_by_bucket
aa_regional_basket/benign/baseline,14583.0,sample_size_by_bucket
aa_regional_basket/marginal/baseline,2118.0,sample_size_by_bucket
aa_regional_basket/unknown/baseline,23.0,sample_size_by_bucket
aa_regional_basket/unknown/recent,2756.0,sample_size_by_bucket
dl_peer_basket/adverse/baseline,749.0,sample_size_by_bucket
dl_peer_basket/benign/baseline,6899.0,sample_size_by_bucket
dl_peer_basket/marginal/baseline,1237.0,sample_size_by_bucket
dl_peer_basket/unknown/baseline,7.0,sample_size_by_bucket
dl_peer_basket/unknown/recent,1287.0,sample_size_by_bucket
ua_peer_basket/adverse/baseline,204.0,sample_size_by_bucket
ua_peer_basket/benign/baseline,1905.0,sample_size_by_bucket
ua_peer_basket/marginal/baseline,275.0,sample_size_by_bucket
ua_peer_basket/unknown/baseline,3.0,sample_size_by_bucket
ua_peer_basket/unknown/recent,585.0,sample_size_by_bucket
cause_data_count,6574.0,fragility_ii_cause_data
arrdelay15_operated_count,6574.0,fragility_ii_cause_data
cause_data_matches_arrdelay15,1.0,fragility_ii_cause_data
cancelled_flights_with_spurious_cause,0.0,fragility_ii_cause_data
aa_regional_basket/controllable_severe_delay_count,546.0,fragility_ii_basket_counts
aa_regional_basket/late_arriving_severe_delay_count,878.0,fragility_ii_basket_counts
aa_regional_basket/controllable_cancel_count,47.0,fragility_ii_basket_counts
aa_regional_basket/operated_count,20068.0,fragility_ii_basket_counts
dl_peer_basket/controllable_severe_delay_count,317.0,fragility_ii_basket_counts
dl_peer_basket/late_arriving_severe_delay_count,192.0,fragility_ii_basket_counts
dl_peer_basket/controllable_cancel_count,69.0,fragility_ii_basket_counts
dl_peer_basket/operated_count,9962.0,fragility_ii_basket_counts
ua_peer_basket/controllable_severe_delay_count,137.0,fragility_ii_basket_counts
ua_peer_basket/late_arriving_severe_delay_count,87.0,fragility_ii_basket_counts
ua_peer_basket/controllable_cancel_count,1.0,fragility_ii_basket_counts
ua_peer_basket/operated_count,2907.0,fragility_ii_basket_counts
