market_bucket,carrier_code,weather_bucket,flights_total,operated_count,controllable_cancel_count,controllable_severe_delay_count,late_arriving_severe_delay_count,controllable_cancel_rate,controllable_severe_delay_rate,late_arriving_severe_delay_rate,low_confidence_flag
aa_regional_basket,MQ,benign,6125,6021,6,80,204,0.001,0.0133,0.0339,0
aa_regional_basket,MQ,marginal,862,814,0,18,40,0.0,0.0221,0.0491,0
aa_regional_basket,MQ,adverse,533,483,1,9,43,0.0019,0.0186,0.089,0
aa_regional_basket,OH,benign,4294,4172,23,98,326,0.0054,0.0235,0.0781,0
aa_regional_basket,OH,marginal,608,559,6,15,50,0.0099,0.0268,0.0894,0
aa_regional_basket,OH,adverse,447,396,0,17,45,0.0,0.0429,0.1136,0
aa_regional_basket,OO,benign,4164,4073,0,193,39,0.0,0.0474,0.0096,0
aa_regional_basket,OO,marginal,648,607,0,28,5,0.0,0.0461,0.0082,0
aa_regional_basket,OO,adverse,350,304,1,27,4,0.0029,0.0888,0.0132,0
dl_peer_basket,9E,benign,1976,1953,11,28,42,0.0056,0.0143,0.0215,0
dl_peer_basket,9E,marginal,352,337,3,5,10,0.0085,0.0148,0.0297,0
dl_peer_basket,9E,adverse,202,193,2,5,15,0.0099,0.0259,0.0777,0
dl_peer_basket,DL,benign,3319,3282,24,55,64,0.0072,0.0168,0.0195,0
dl_peer_basket,DL,marginal,590,575,6,18,22,0.0102,0.0313,0.0383,0
dl_peer_basket,DL,adverse,381,365,7,6,20,0.0184,0.0164,0.0548,0
dl_peer_basket,OO,benign,1604,1577,1,121,0,0.0006,0.0767,0.0,0
dl_peer_basket,OO,marginal,295,286,0,20,0,0.0,0.0699,0.0,0
dl_peer_basket,OO,adverse,166,155,1,16,0,0.006,0.1032,0.0,0
ua_peer_basket,OO,benign,1903,1883,0,74,50,0.0,0.0393,0.0266,0
ua_peer_basket,OO,marginal,275,263,0,22,13,0.0,0.0837,0.0494,0
ua_peer_basket,OO,adverse,203,190,0,16,10,0.0,0.0842,0.0526,0
ua_peer_basket,UA,benign,2,2,0,0,0,0.0,0.0,0.0,1
ua_peer_basket,UA,adverse,1,1,0,0,0,0.0,0.0,0.0,1
