module,operator_class,hub_family,weather_bucket,period_flag,flights_total,cancelled_count,operated_count,severe_delay_count,controllable_cancel_count,controllable_severe_delay_count,late_arriving_severe_delay_count,carrier_delay_minutes_sum,late_aircraft_delay_minutes_sum,cancellation_rate,severe_delay_rate,controllable_cancel_rate,controllable_severe_delay_rate,late_arriving_severe_delay_rate,weather_fragility_rate,baseline_label,excess_cancelled_vs_baseline,excess_controllable_delay_minutes,excess_cascade_delay_minutes,economic_burden_proxy_usd,economic_burden_proxy_usd_per_1000_flights,combined_fragility_score
focal_corridor,Envoy_operated,focal_corridor,adverse,baseline,250,18,228,57,1,4,19,679.0,2881.0,0.072,0.25,0.004,0.0175,0.0833,0.3,ua_dl_peer_average,10.02,-1485.0,-125.1,-160661.47,-642645.9,0.1057
focal_corridor,Envoy_operated,focal_corridor,adverse,recent,283,26,255,72,0,7,28,1954.0,5204.0,0.0919,0.2824,0.0,0.0275,0.1098,0.3463,ua_dl_peer_average,12.52,-1608.1,3075.3,152507.86,538897.04,0.1279
focal_corridor,Envoy_operated,focal_corridor,benign,baseline,2954,33,2921,191,1,45,129,8818.0,18023.0,0.0112,0.0654,0.0003,0.0154,0.0442,0.0758,ua_dl_peer_average,4.52,-5712.5,9049.3,340107.93,115134.71,0.034
focal_corridor,Envoy_operated,focal_corridor,benign,recent,3171,69,3100,170,5,44,101,13719.0,14914.0,0.0218,0.0548,0.0016,0.0142,0.0326,0.0754,ua_dl_peer_average,26.94,-14542.3,4594.6,-1002524.32,-316153.99,0.0308
focal_corridor,Envoy_operated,focal_corridor,marginal,baseline,439,19,420,52,0,8,24,1090.0,3999.0,0.0433,0.1238,0.0,0.019,0.0571,0.1617,ua_dl_peer_average,6.92,-4236.9,2237.3,-201092.43,-458069.32,0.0608
focal_corridor,Envoy_operated,focal_corridor,marginal,recent,423,28,394,40,0,10,20,2497.0,3535.0,0.0662,0.1015,0.0,0.0254,0.0508,0.1608,ua_dl_peer_average,16.14,-2275.0,1333.8,-91015.85,-215167.49,0.061
focal_corridor,Envoy_operated,focal_corridor,unknown,recent,10,0,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ua_dl_peer_average,0.0,0.0,0.0,0.0,0.0,0.0
focal_corridor,OO_AA_contract,focal_corridor,adverse,baseline,153,12,140,38,0,16,1,3806.0,214.0,0.0784,0.2714,0.0,0.1143,0.0071,0.3268,ua_dl_peer_average,7.12,2477.2,-1631.8,87853.99,574209.09,0.1178
focal_corridor,OO_AA_contract,focal_corridor,adverse,recent,197,30,164,55,1,11,3,2632.0,456.0,0.1523,0.3354,0.0051,0.0671,0.0183,0.4315,ua_dl_peer_average,20.62,341.1,-913.1,-52270.0,-265329.97,0.1433
focal_corridor,OO_AA_contract,focal_corridor,benign,baseline,2068,27,2039,129,0,91,15,19326.0,3006.0,0.0131,0.0633,0.0,0.0446,0.0074,0.0754,ua_dl_peer_average,7.06,9183.0,-3258.1,603630.65,291891.03,0.0321
focal_corridor,OO_AA_contract,focal_corridor,benign,recent,2096,60,2034,224,0,122,28,25892.0,5289.0,0.0286,0.1101,0.0,0.06,0.0138,0.1355,ua_dl_peer_average,32.2,7349.0,-1481.9,604843.98,288570.6,0.0531
focal_corridor,OO_AA_contract,focal_corridor,marginal,baseline,351,14,336,49,0,16,5,2900.0,482.0,0.0399,0.1458,0.0,0.0476,0.0149,0.1795,ua_dl_peer_average,4.34,-1361.5,-927.4,-231194.46,-658673.67,0.0621
focal_corridor,OO_AA_contract,focal_corridor,marginal,recent,297,26,271,38,0,13,0,2651.0,194.0,0.0875,0.1402,0.0,0.048,0.0,0.2155,ua_dl_peer_average,17.67,-631.2,-1320.0,-193152.88,-650346.4,0.0689
focal_corridor,OO_AA_contract,focal_corridor,unknown,recent,5,0,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ua_dl_peer_average,0.0,0.0,0.0,0.0,0.0,0.0
focal_corridor,OO_DL_contract,focal_corridor,adverse,baseline,46,1,45,7,0,6,0,1445.0,0.0,0.0217,0.1556,0.0,0.1333,0.0,0.1739,ua_dl_peer_average,-0.47,1017.9,-593.3,42983.3,934419.55,0.0777
focal_corridor,OO_DL_contract,focal_corridor,adverse,recent,120,5,110,25,1,10,0,2093.0,0.0,0.0417,0.2273,0.0083,0.0909,0.0,0.25,ua_dl_peer_average,-0.71,556.4,-918.3,-36948.93,-307907.77,0.09
focal_corridor,OO_DL_contract,focal_corridor,benign,baseline,429,2,427,36,1,35,0,6051.0,0.0,0.0047,0.0843,0.0023,0.082,0.0,0.0886,ua_dl_peer_average,-2.14,3926.9,-1311.8,264943.09,617582.96,0.0427
focal_corridor,OO_DL_contract,focal_corridor,benign,recent,1175,22,1150,108,0,96,0,15912.0,0.0,0.0187,0.0939,0.0,0.0835,0.0,0.1106,ua_dl_peer_average,6.41,5428.0,-3828.2,164258.96,139794.86,0.049
focal_corridor,OO_DL_contract,focal_corridor,marginal,baseline,66,3,62,9,0,5,0,1814.0,0.0,0.0455,0.1452,0.0,0.0806,0.0,0.1818,ua_dl_peer_average,1.18,1027.7,-260.1,78277.58,1186023.89,0.0678
focal_corridor,OO_DL_contract,focal_corridor,marginal,recent,229,4,224,22,0,15,0,3681.0,0.0,0.0175,0.0982,0.0,0.067,0.0,0.1135,ua_dl_peer_average,-2.42,968.0,-1251.4,-29463.0,-128659.39,0.0457
focal_corridor,OO_DL_contract,focal_corridor,unknown,recent,2,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ua_dl_peer_average,0.0,0.0,0.0,0.0,0.0,0.0
focal_corridor,OO_UA_contract,focal_corridor,adverse,baseline,32,2,30,10,0,3,3,1045.0,468.0,0.0625,0.3333,0.0,0.1,0.1,0.375,ua_dl_peer_average,0.98,760.3,72.5,84834.52,2651078.7,0.149
focal_corridor,OO_UA_contract,focal_corridor,adverse,recent,171,11,160,34,0,14,8,3526.0,2272.0,0.0643,0.2125,0.0,0.0875,0.05,0.2632,ua_dl_peer_average,2.86,1290.9,936.3,226968.22,1327299.5,0.1036
focal_corridor,OO_UA_contract,focal_corridor,benign,baseline,323,4,319,25,0,12,10,2698.0,1494.0,0.0124,0.0784,0.0,0.0376,0.0313,0.0898,ua_dl_peer_average,0.89,1111.1,514.0,165270.89,511674.58,0.0399
focal_corridor,OO_UA_contract,focal_corridor,benign,recent,1580,16,1564,138,0,70,49,12527.0,7520.0,0.0101,0.0882,0.0,0.0448,0.0313,0.0975,ua_dl_peer_average,-4.96,-1731.3,2313.7,57743.05,36546.23,0.0436
focal_corridor,OO_UA_contract,focal_corridor,marginal,baseline,69,2,64,12,0,6,3,1786.0,334.0,0.029,0.1875,0.0,0.0938,0.0469,0.2029,ua_dl_peer_average,0.1,974.3,65.5,105616.95,1530680.39,0.0893
focal_corridor,OO_UA_contract,focal_corridor,marginal,recent,206,7,199,32,0,16,11,2337.0,1921.0,0.034,0.1608,0.0,0.0804,0.0553,0.1893,ua_dl_peer_average,1.22,-73.2,809.2,75084.08,364485.84,0.0826
focal_corridor,OO_UA_contract,focal_corridor,unknown,recent,3,0,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ua_dl_peer_average,0.0,0.0,0.0,0.0,0.0,0.0
focal_corridor,Other_or_non_AA,focal_corridor,adverse,baseline,392,12,375,49,7,9,27,1781.0,5465.0,0.0306,0.1307,0.0179,0.024,0.072,0.1556,ua_dl_peer_average,-0.51,-1778.2,520.8,-127817.82,-326065.86,0.0643
focal_corridor,Other_or_non_AA,focal_corridor,adverse,recent,192,7,184,28,2,2,10,723.0,1518.0,0.0365,0.1522,0.0104,0.0109,0.0543,0.1823,ua_dl_peer_average,-2.14,-1847.3,-18.0,-190019.28,-989683.77,0.0635
focal_corridor,Other_or_non_AA,focal_corridor,benign,baseline,3604,36,3566,130,26,55,77,12701.0,11753.0,0.01,0.0365,0.0072,0.0154,0.0216,0.0461,ua_dl_peer_average,1.25,-5038.0,797.8,-430213.98,-119371.25,0.0209
focal_corridor,Other_or_non_AA,focal_corridor,benign,recent,1693,21,1671,83,9,37,57,11537.0,7077.0,0.0124,0.0497,0.0053,0.0221,0.0341,0.0614,ua_dl_peer_average,-1.46,-3696.7,1514.5,-222002.01,-131129.36,0.0296
focal_corridor,Other_or_non_AA,focal_corridor,marginal,baseline,628,16,609,43,5,17,22,5722.0,2749.0,0.0255,0.0706,0.008,0.0279,0.0361,0.0939,ua_dl_peer_average,-1.28,-2001.9,194.5,-183894.52,-292825.67,0.04
focal_corridor,Other_or_non_AA,focal_corridor,marginal,recent,314,10,303,24,4,7,15,2775.0,2135.0,0.0318,0.0792,0.0127,0.0231,0.0495,0.1083,ua_dl_peer_average,1.2,-894.8,442.2,-45621.08,-145290.07,0.0459
focal_corridor,Other_or_non_AA,focal_corridor,unknown,recent,5,0,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ua_dl_peer_average,0.0,0.0,0.0,0.0,0.0,0.0
focal_corridor,PSA_operated,focal_corridor,adverse,baseline,207,20,185,56,0,8,17,3101.0,3730.0,0.0966,0.3027,0.0,0.0432,0.0919,0.3671,ua_dl_peer_average,13.39,1345.1,1290.9,271447.48,1311340.5,0.1336
focal_corridor,PSA_operated,focal_corridor,adverse,recent,240,28,211,50,0,9,28,1915.0,5697.0,0.1167,0.237,0.0,0.0427,0.1327,0.325,ua_dl_peer_average,16.57,-1032.5,3935.6,299461.04,1247754.35,0.1322
focal_corridor,PSA_operated,focal_corridor,benign,baseline,2057,42,2013,196,7,45,142,12602.0,26668.0,0.0204,0.0974,0.0034,0.0224,0.0705,0.1157,ua_dl_peer_average,22.17,2588.4,20483.8,2349075.62,1141991.07,0.0527
focal_corridor,PSA_operated,focal_corridor,benign,recent,2237,74,2159,289,16,61,217,14825.0,32298.0,0.0331,0.1339,0.0072,0.0283,0.1005,0.1623,ua_dl_peer_average,44.33,-4857.6,25111.0,2069100.18,924944.2,0.0739
focal_corridor,PSA_operated,focal_corridor,marginal,baseline,319,22,294,47,4,11,23,2138.0,3413.0,0.069,0.1599,0.0125,0.0374,0.0782,0.2163,ua_dl_peer_average,13.22,-1590.8,2179.8,63537.12,199175.91,0.0861
focal_corridor,PSA_operated,focal_corridor,marginal,recent,289,22,265,47,2,5,35,1527.0,5029.0,0.0761,0.1774,0.0069,0.0189,0.1321,0.2388,ua_dl_peer_average,13.9,-1682.6,3548.5,193392.58,669178.46,0.1011
focal_corridor,PSA_operated,focal_corridor,unknown,recent,8,0,8,1,0,0,1,2.0,330.0,0.0,0.125,0.0,0.0,0.125,0.125,ua_dl_peer_average,0.0,2.0,330.0,33712.39,4214048.33,0.0625
hub_spoke,AA_mainline,CLT,adverse,baseline,12646,366,12076,2389,13,362,1168,88855.0,195760.0,0.0289,0.1978,0.001,0.03,0.0967,0.2179,aa_system_average,-72.79,7370.7,9318.6,1674167.8,132387.14,0.0884
hub_spoke,AA_mainline,CLT,adverse,recent,11896,724,11022,2189,26,302,921,79836.0,159512.0,0.0609,0.1986,0.0022,0.0274,0.0836,0.2449,aa_system_average,-167.9,-1746.5,-3476.2,-577680.01,-48560.86,0.0926
hub_spoke,AA_mainline,CLT,benign,baseline,188448,1857,186363,17169,314,5483,12063,1267469.0,1857641.0,0.0099,0.0921,0.0017,0.0294,0.0647,0.101,aa_system_average,197.75,155005.1,185232.6,34604634.86,183629.62,0.049
hub_spoke,AA_mainline,CLT,benign,recent,174801,1357,173277,12022,226,4090,8097,899019.0,1196672.0,0.0078,0.0694,0.0013,0.0236,0.0467,0.0765,aa_system_average,-578.94,12174.4,-60180.4,-5037956.25,-28821.1,0.0369
hub_spoke,AA_mainline,CLT,marginal,baseline,34858,925,33838,4109,109,1094,2450,275510.0,393691.0,0.0265,0.1214,0.0031,0.0323,0.0724,0.1444,aa_system_average,-34.1,30343.4,15829.7,4678955.99,134229.04,0.0632
hub_spoke,AA_mainline,CLT,marginal,recent,32952,793,32091,3179,45,943,1804,215765.0,276806.0,0.0241,0.0991,0.0014,0.0294,0.0562,0.1205,aa_system_average,-286.97,-12574.5,-29987.7,-4402833.39,-133613.54,0.0522
hub_spoke,AA_mainline,CLT,unknown,baseline,6975,217,6739,579,10,187,327,45829.0,56107.0,0.0311,0.0859,0.0014,0.0277,0.0485,0.1141,aa_system_average,14.85,6252.6,1411.5,782426.87,112175.9,0.0483
hub_spoke,AA_mainline,CLT,unknown,recent,6490,79,6393,542,8,150,335,41881.0,53405.0,0.0122,0.0848,0.0012,0.0235,0.0524,0.0957,aa_system_average,-63.03,4850.3,1068.3,583221.95,89864.71,0.0432
hub_spoke,AA_mainline,DFW,adverse,baseline,16257,1151,14540,3936,42,627,1671,157583.0,344096.0,0.0708,0.2707,0.0026,0.0431,0.1149,0.3129,aa_system_average,-172.16,25314.6,29609.3,5528609.71,340075.64,0.1249
hub_spoke,AA_mainline,DFW,adverse,recent,15779,1465,13725,3700,37,599,1415,152707.0,261425.0,0.0928,0.2696,0.0023,0.0436,0.1031,0.3273,aa_system_average,-157.34,28681.0,18960.5,4793311.55,303777.9,0.1273
hub_spoke,AA_mainline,DFW,benign,baseline,259924,3816,255729,26689,533,8634,19112,1892465.0,2954288.0,0.0147,0.1044,0.0021,0.0338,0.0747,0.1174,aa_system_average,492.77,362098.8,463746.5,83998053.54,323163.9,0.0569
hub_spoke,AA_mainline,DFW,benign,recent,257376,4870,252014,27396,792,8521,18598,1920444.0,2771639.0,0.0189,0.1087,0.0031,0.0338,0.0738,0.1254,aa_system_average,-41.32,348822.8,368053.2,72782323.56,282785.98,0.0588
hub_spoke,AA_mainline,DFW,marginal,baseline,36792,1258,35333,4883,56,1324,2781,317042.0,450994.0,0.0342,0.1382,0.0015,0.0375,0.0787,0.1669,aa_system_average,-67.25,51435.7,36324.1,8892454.19,241695.32,0.0721
hub_spoke,AA_mainline,DFW,marginal,recent,34544,2035,32337,4884,68,1296,2556,298316.0,401040.0,0.0589,0.151,0.002,0.0401,0.079,0.2003,aa_system_average,-97.07,47351.2,17255.5,6533010.09,189121.41,0.0823
hub_spoke,AA_mainline,DFW,unknown,baseline,8812,357,8433,819,8,328,528,69316.0,94648.0,0.0405,0.0971,0.0009,0.0389,0.0626,0.1335,aa_system_average,82.6,14342.4,19363.3,3445890.73,391045.25,0.0598
hub_spoke,AA_mainline,DFW,unknown,recent,9060,447,8547,1049,13,364,637,82044.0,102550.0,0.0493,0.1227,0.0014,0.0426,0.0745,0.1651,aa_system_average,35.62,18835.3,16836.1,3632235.65,400909.01,0.0723
hub_spoke,AA_mainline,ORD,adverse,baseline,4898,112,4682,989,10,170,411,52151.0,80939.0,0.0229,0.2112,0.002,0.0363,0.0878,0.2248,aa_system_average,-95.63,11647.3,6391.1,1804713.57,368459.28,0.0895
hub_spoke,AA_mainline,ORD,adverse,recent,3951,307,3477,964,10,135,320,41112.0,61064.0,0.0777,0.2773,0.0025,0.0388,0.092,0.3217,aa_system_average,-107.31,13549.0,7485.8,2105683.13,532949.41,0.1215
hub_spoke,AA_mainline,ORD,benign,baseline,73851,660,73042,7007,160,2242,4714,521730.0,758715.0,0.0089,0.0959,0.0022,0.0307,0.0645,0.1038,aa_system_average,68.73,125482.4,147674.6,27756654.37,375846.7,0.05
hub_spoke,AA_mainline,ORD,benign,recent,82719,1114,81431,8434,182,2546,5780,566669.0,901829.0,0.0135,0.1036,0.0022,0.0313,0.071,0.1154,aa_system_average,58.74,161030.4,167134.0,33339477.25,403044.97,0.0548
hub_spoke,AA_mainline,ORD,marginal,baseline,12896,244,12593,1548,38,406,892,96924.0,143605.0,0.0189,0.1229,0.0029,0.0322,0.0708,0.139,aa_system_average,-26.8,19683.8,20472.6,4070055.27,315606.02,0.0612
hub_spoke,AA_mainline,ORD,marginal,recent,13449,373,13012,1907,20,443,1002,111637.0,162317.0,0.0277,0.1466,0.0015,0.034,0.077,0.1695,aa_system_average,-85.09,30333.3,2364.8,3296280.52,245094.84,0.0713
hub_spoke,AA_mainline,ORD,unknown,baseline,2518,41,2471,251,13,99,167,21172.0,27545.0,0.0163,0.1016,0.0052,0.0401,0.0676,0.116,aa_system_average,17.51,5814.5,6112.0,1216000.06,482922.98,0.0564
hub_spoke,AA_mainline,ORD,unknown,recent,2850,130,2712,391,4,129,196,26740.0,32601.0,0.0456,0.1442,0.0014,0.0476,0.0723,0.1828,aa_system_average,-7.04,7994.0,2463.1,1059860.59,371880.91,0.0774
hub_spoke,AA_mainline,PHL,adverse,baseline,3602,235,3286,707,10,131,244,32404.0,42641.0,0.0652,0.2152,0.0028,0.0399,0.0743,0.2615,aa_system_average,-9.15,-373.4,-963.1,-138298.65,-38394.96,0.0986
hub_spoke,AA_mainline,PHL,adverse,recent,3451,241,3122,778,2,123,257,36083.0,46189.0,0.0698,0.2492,0.0006,0.0394,0.0823,0.2953,aa_system_average,-66.68,-1303.7,-3457.4,-502264.54,-145541.74,0.1102
hub_spoke,AA_mainline,PHL,benign,baseline,65080,872,64102,5477,199,1858,3796,429322.0,602922.0,0.0134,0.0854,0.0031,0.029,0.0592,0.0976,aa_system_average,57.65,26249.1,25214.3,5242019.73,80547.32,0.0468
hub_spoke,AA_mainline,PHL,benign,recent,63868,803,62963,5683,118,1868,3780,443939.0,588851.0,0.0126,0.0903,0.0018,0.0297,0.06,0.1016,aa_system_average,-260.85,-3860.9,-42213.6,-4752115.48,-74405.27,0.0481
hub_spoke,AA_mainline,PHL,marginal,baseline,11342,262,11036,1448,15,346,818,84767.0,128757.0,0.0231,0.1312,0.0013,0.0314,0.0741,0.1508,aa_system_average,3.92,3804.7,-1698.4,214990.16,18955.23,0.0649
hub_spoke,AA_mainline,PHL,marginal,recent,11962,372,11551,1392,24,393,757,92203.0,120156.0,0.0311,0.1205,0.002,0.034,0.0655,0.1475,aa_system_average,-128.92,-6964.4,-21958.8,-2973315.73,-248563.43,0.0628
hub_spoke,AA_mainline,PHL,unknown,baseline,2149,44,2099,178,6,55,99,13409.0,15759.0,0.0205,0.0848,0.0028,0.0262,0.0472,0.1033,aa_system_average,-3.27,1838.6,794.5,266447.01,123986.51,0.0447
hub_spoke,AA_mainline,PHL,unknown,recent,2141,74,2056,242,4,61,112,13844.0,19413.0,0.0346,0.1177,0.0019,0.0297,0.0545,0.1476,aa_system_average,-8.21,833.4,-2621.0,-183831.05,-85862.24,0.0591
hub_spoke,Envoy_operated,CLT,adverse,baseline,665,44,599,116,3,19,52,2505.0,8363.0,0.0662,0.1937,0.0045,0.0317,0.0868,0.2406,aa_system_average,20.93,-1536.8,-885.0,-240015.08,-360924.94,0.0946
hub_spoke,Envoy_operated,CLT,adverse,recent,632,41,582,72,0,5,24,974.0,3177.0,0.0649,0.1237,0.0,0.0086,0.0412,0.1788,aa_system_average,-6.38,-3333.8,-5429.3,-891643.42,-1410828.2,0.0596
hub_spoke,Envoy_operated,CLT,benign,baseline,9681,80,9595,695,24,171,542,34860.0,73193.0,0.0083,0.0724,0.0025,0.0178,0.0565,0.0801,aa_system_average,-5.24,-22415.8,-12911.9,-3588765.8,-370701.97,0.0388
hub_spoke,Envoy_operated,CLT,benign,recent,9530,77,9447,418,1,107,309,22138.0,41329.0,0.0081,0.0442,0.0001,0.0113,0.0327,0.0519,aa_system_average,-28.55,-26212.5,-27194.1,-5431133.7,-569898.6,0.0241
hub_spoke,Envoy_operated,CLT,marginal,baseline,1565,53,1504,165,4,32,110,5418.0,12685.0,0.0339,0.1097,0.0026,0.0213,0.0731,0.1393,aa_system_average,9.94,-5478.9,-4109.8,-970872.11,-620365.56,0.0595
hub_spoke,Envoy_operated,CLT,marginal,recent,1529,48,1476,95,1,20,60,4624.0,8634.0,0.0314,0.0644,0.0007,0.0136,0.0407,0.0935,aa_system_average,-2.11,-5878.3,-5476.7,-1153622.6,-754494.83,0.0375
hub_spoke,Envoy_operated,CLT,unknown,baseline,357,3,352,31,0,9,17,1161.0,2123.0,0.0084,0.0881,0.0,0.0256,0.0483,0.0952,aa_system_average,-7.35,-906.2,-733.9,-168615.91,-472313.48,0.0426
hub_spoke,Envoy_operated,CLT,unknown,recent,347,2,345,17,0,4,15,1356.0,1503.0,0.0058,0.0493,0.0,0.0116,0.0435,0.0548,aa_system_average,-5.59,-642.4,-1321.4,-200981.7,-579197.97,0.0275
hub_spoke,Envoy_operated,DFW,adverse,baseline,7279,756,6313,1605,4,129,593,29953.0,102648.0,0.1039,0.2542,0.0005,0.0204,0.0939,0.3244,aa_system_average,163.56,-27475.5,-33896.3,-6185774.71,-849811.06,0.1181
hub_spoke,Envoy_operated,DFW,adverse,recent,7224,815,6205,1477,5,95,498,23280.0,83486.0,0.1128,0.238,0.0007,0.0153,0.0803,0.3173,aa_system_average,72.25,-32791.5,-26130.9,-5962801.0,-825415.42,0.1116
hub_spoke,Envoy_operated,DFW,benign,baseline,114577,926,113563,6297,65,1651,4278,322299.0,608706.0,0.0081,0.0554,0.0006,0.0145,0.0377,0.063,aa_system_average,-538.91,-357299.2,-497282.6,-86929059.92,-758695.55,0.0289
hub_spoke,Envoy_operated,DFW,benign,recent,108997,1743,107136,5661,121,1376,3539,281082.0,531568.0,0.016,0.0528,0.0011,0.0128,0.033,0.0679,aa_system_average,-336.91,-387044.4,-490242.6,-89177653.94,-818166.13,0.0287
hub_spoke,Envoy_operated,DFW,marginal,baseline,13950,520,13382,1551,8,264,807,49602.0,113247.0,0.0373,0.1159,0.0006,0.0197,0.0603,0.1485,aa_system_average,17.52,-50993.6,-43804.9,-9621207.84,-689692.32,0.0583
hub_spoke,Envoy_operated,DFW,marginal,recent,12720,835,11817,1421,3,209,647,43692.0,98550.0,0.0656,0.1203,0.0002,0.0177,0.0548,0.1774,aa_system_average,49.92,-48018.8,-41697.4,-9096004.6,-715094.7,0.0646
hub_spoke,Envoy_operated,DFW,unknown,baseline,4146,57,4087,164,4,64,89,11524.0,16190.0,0.0137,0.0401,0.001,0.0157,0.0218,0.0533,aa_system_average,-72.1,-15118.6,-20296.2,-3616472.09,-872279.81,0.0228
hub_spoke,Envoy_operated,DFW,unknown,recent,4042,137,3889,239,0,51,129,9926.0,18590.0,0.0339,0.0615,0.0,0.0131,0.0332,0.093,aa_system_average,-46.53,-18834.8,-20411.0,-3998270.9,-989181.32,0.0354
hub_spoke,Envoy_operated,ORD,adverse,baseline,3571,247,3265,724,22,77,269,16598.0,45595.0,0.0692,0.2217,0.0062,0.0236,0.0824,0.2719,aa_system_average,95.63,-11647.3,-6391.1,-1804713.57,-505380.45,0.0992
hub_spoke,Envoy_operated,ORD,adverse,recent,4131,518,3525,838,4,72,266,12959.0,42603.0,0.1254,0.2377,0.001,0.0204,0.0755,0.3282,aa_system_average,84.81,-14984.5,-11714.9,-2687222.83,-650501.77,0.1148
hub_spoke,Envoy_operated,ORD,benign,baseline,52550,352,52151,3234,85,819,2022,157433.0,288600.0,0.0067,0.062,0.0016,0.0157,0.0388,0.0682,aa_system_average,-68.73,-125482.4,-147674.6,-27756654.37,-528195.14,0.0308
hub_spoke,Envoy_operated,ORD,benign,recent,72606,791,71759,4576,21,999,3068,188082.0,424231.0,0.0109,0.0638,0.0003,0.0139,0.0428,0.0739,aa_system_average,-135.25,-169376.7,-223200.3,-39901713.42,-549564.96,0.0328
hub_spoke,Envoy_operated,ORD,marginal,baseline,9724,231,9468,953,27,180,498,38389.0,72104.0,0.0238,0.1007,0.0028,0.019,0.0526,0.1218,aa_system_average,26.8,-19683.8,-20472.6,-4070055.27,-418557.72,0.049
hub_spoke,Envoy_operated,ORD,marginal,recent,13987,542,13416,1993,6,247,1073,48587.0,140796.0,0.0388,0.1486,0.0004,0.0184,0.08,0.1812,aa_system_average,65.58,-35241.0,-24122.4,-6009468.43,-429646.7,0.0714
hub_spoke,Envoy_operated,ORD,unknown,baseline,1877,0,1876,115,0,29,75,5845.0,10160.0,0.0,0.0613,0.0,0.0155,0.04,0.0613,aa_system_average,-17.51,-5814.5,-6112.0,-1216000.06,-647842.33,0.0292
hub_spoke,Envoy_operated,ORD,unknown,recent,2867,138,2723,323,0,39,180,8292.0,26097.0,0.0481,0.1186,0.0,0.0143,0.0661,0.1608,aa_system_average,0.14,-10530.0,-4163.2,-1491956.74,-520389.52,0.0618
hub_spoke,Other_or_non_AA,CLT,adverse,baseline,2570,107,2425,488,20,91,201,20813.0,30983.0,0.0416,0.2012,0.0078,0.0375,0.0829,0.2315,aa_system_average,17.83,4450.0,-6456.6,-198725.19,-77324.98,0.0908
hub_spoke,Other_or_non_AA,CLT,adverse,recent,1858,72,1764,405,16,82,151,18282.0,22518.0,0.0388,0.2296,0.0086,0.0465,0.0856,0.2567,aa_system_average,-67.3,5225.2,-3567.2,149382.84,80399.81,0.1001
hub_spoke,Other_or_non_AA,CLT,benign,baseline,37399,533,36813,2745,233,875,1585,183479.0,231652.0,0.0143,0.0746,0.0062,0.0238,0.0431,0.0876,aa_system_average,203.71,-36270.3,-98705.3,-13648419.95,-364940.77,0.0389
hub_spoke,Other_or_non_AA,CLT,benign,recent,27625,221,27376,2137,107,683,1194,128647.0,170623.0,0.008,0.0781,0.0039,0.0249,0.0436,0.0854,aa_system_average,-84.95,-11465.4,-27946.9,-4026010.87,-145737.95,0.0387
