hub_family,spoke_airport,operator_class,flights_total,operated_count,cancelled_count,severe_delay_count,controllable_severe_delay_count,late_arriving_severe_delay_count,cascade_delay_count,carrier_delay_min_sum,late_aircraft_delay_min_sum,cancellation_rate,severe_delay_rate,controllable_severe_delay_rate,late_arriving_severe_delay_rate,adv_flights,adverse_weather_fragility_rate,economic_burden_per_1k,norm_cancel,norm_severe_delay,norm_controllable,norm_cascade,norm_weather_sensitivity,norm_economic_burden,meets_min_adv_flights,hotspot_score_base,hotspot_score_weather_emphasis,hotspot_score_controllable_cascade_emphasis,hotspot_score_economic_emphasis,hotspot_robustness_score,dominant_component,meets_min_flights,is_persistent
ORD,SPI,SkyWest_unresolved,206,193,13,56,28,17,28,4405.0,2549.0,0.06310679611650485,0.27184466019417475,0.13592233009708737,0.0825242718446602,8.0,0.875,5690494.368932039,0.9838129496402878,0.9988009592326139,0.9988009592326139,0.934052757793765,,0.9958033573141487,False,0.982254196642686,0.982254196642686,0.9752198241406875,0.9882760458300027,1.0,unknown,True,False
ORD,ORF,PSA_operated,120,111,9,23,6,14,21,972.0,2101.0,0.075,0.19166666666666668,0.05,0.11666666666666667,6.0,0.5,5300815.666666667,0.9928057553956835,0.9892086330935251,0.9361510791366906,0.9877098321342925,,0.9928057553956835,False,0.979736211031175,0.9797362110311751,0.9718225419664268,0.9855448974154011,1.0,unknown,True,False
ORD,CAK,PSA_operated,340,320,20,63,17,38,61,4185.0,7128.0,0.058823529411764705,0.18529411764705883,0.05,0.11176470588235295,22.0,0.6818181818181818,5486382.000000001,0.9778177458033573,0.9838129496402878,0.9361510791366906,0.9850119904076738,,0.9940047961630696,False,0.975359712230216,0.9753597122302158,0.9687916333599786,0.9836464162003731,1.0,unknown,True,False
ORD,TYS,PSA_operated,1162,1102,57,262,66,162,244,15560.0,35701.0,0.04905335628227195,0.22547332185886404,0.05679862306368331,0.13941480206540446,57.0,0.43859649122807015,6224314.595524957,0.9484412470023981,0.9952038369304557,0.9634292565947242,0.9946043165467626,0.947136563876652,0.9988009592326139,True,0.9746026966972676,0.9636162435690215,0.976368332646658,0.9842820017114062,1.0,economic_burden,True,False
ORD,GSP,PSA_operated,302,286,15,56,15,36,56,4101.0,6017.0,0.04966887417218543,0.18543046357615894,0.04966887417218543,0.11920529801324503,9.0,0.2222222222222222,5177462.516556292,0.9514388489208633,0.9850119904076738,0.9334532374100719,0.9892086330935251,,0.9904076738609112,False,0.9699040767386092,0.9699040767386091,0.96609379163336,0.9790167865707433,1.0,unknown,True,False
ORD,MGW,SkyWest_unresolved,766,721,35,133,49,65,83,13207.0,13493.0,0.04569190600522193,0.17362924281984335,0.0639686684073107,0.08485639686684072,40.0,0.575,5169540.46997389,0.9334532374100719,0.9772182254196643,0.9748201438848921,0.9424460431654677,0.9955947136563876,0.9898081534772182,True,0.9688900861689503,0.9795719371639253,0.9647872891114422,0.9772573130922575,1.0,weather_sensitivity,True,False
DFW,SBN,PSA_operated,106,101,5,20,5,10,20,1110.0,1985.0,0.04716981132075472,0.18867924528301888,0.04716981132075472,0.09433962264150944,9.0,0.4444444444444444,4653020.754716981,0.9400479616306955,0.988009592326139,0.9205635491606715,0.9658273381294964,,0.9796163069544365,False,0.9588129496402878,0.9588129496402878,0.9518718358646416,0.9680588862243539,1.0,unknown,True,False
ORD,CID,AA_mainline,127,123,4,31,7,20,30,2320.0,5131.0,0.031496062992125984,0.2440944881889764,0.05511811023622047,0.15748031496062992,10.0,0.3,7053993.385826772,0.829736211031175,0.9964028776978417,0.9574340527577938,0.9982014388489209,,0.999400479616307,False,0.9562350119904077,0.9562350119904077,0.9658273381294964,0.9754196642685852,1.0,unknown,True,False
DFW,CID,AA_mainline,2134,2039,81,381,100,241,393,24568.0,47985.0,0.03795688847235239,0.17853795688847235,0.046860356138706656,0.11293345829428304,158.0,0.47468354430379744,4802531.340206185,0.8860911270983214,0.9814148681055156,0.9178657074340527,0.9856115107913669,0.9762114537444934,0.9820143884892086,True,0.9548681759438263,0.9634054870640932,0.9536163492113797,0.9657266609619793,1.0,cascade,True,True
CLT,GPT,Envoy_operated,120,116,4,25,10,14,25,1255.0,1838.0,0.03333333333333333,0.20833333333333334,0.08333333333333333,0.11666666666666667,12.0,0.25,3806209.0,0.8492206235011991,0.9928057553956835,0.9928057553956835,0.9877098321342925,,0.9358513189448441,False,0.9516786570743406,0.9516786570743406,0.9688249400479616,0.9446442845723422,1.0,unknown,True,False
