hub_family,spoke_airport,operator_class,flights_total,meets_min_flights,hotspot_robustness_score,hotspot_score_base,hotspot_score_weather_emphasis,hotspot_score_controllable_cascade_emphasis,hotspot_score_economic_emphasis,norm_cancel,norm_severe_delay,norm_controllable,norm_cascade,norm_weather_sensitivity,norm_economic_burden
CLT,ABE,PSA_operated,4158,True,0.0,0.4729138785046728,0.4281775700934579,0.4872429906542056,0.49827102803738316,0.514018691588785,0.4074766355140187,0.49906542056074765,0.5186915887850467,0.36121495327102804,0.5364485981308411
CLT,AGS,PSA_operated,3057,True,0.0,0.6643072897196262,0.5128971962616823,0.6816822429906543,0.7069158878504673,0.8074766355140187,0.7046728971962617,0.6728971962616822,0.7429906542056075,0.28598130841121494,0.7710280373831776
CLT,ALB,AA_mainline,4175,True,0.0,0.4720570093457943,0.42971962616822434,0.5166355140186916,0.5037383177570094,0.20093457943925233,0.5457943925233645,0.4663551401869159,0.7009345794392523,0.3663551401869159,0.5514018691588785
CLT,ALB,PSA_operated,534,True,0.0,0.6115708878504672,0.7214485981308412,0.5398598130841121,0.5892990654205608,0.7714953271028038,0.5897196261682243,0.21355140186915889,0.6514018691588785,0.8864485981308411,0.5560747663551402
CLT,ATL,AA_mainline,2552,True,0.0,0.48015831775700935,0.32355140186915887,0.5484112149532712,0.5272897196261682,0.305607476635514,0.585981308411215,0.6130841121495327,0.688785046728972,0.08878504672897196,0.5981308411214953
CLT,ATL,Envoy_operated,497,True,0.0,0.6294872429906542,0.5295794392523365,0.6049065420560747,0.6486448598130842,0.8878504672897196,0.694392523364486,0.38317757009345793,0.7532710280373832,0.37990654205607477,0.677570093457944
CLT,ATL,PSA_operated,5410,True,0.0,0.5043064485981308,0.5357943925233645,0.4881308411214954,0.49766355140186924,0.5990654205607476,0.42710280373831777,0.2411214953271028,0.6869158878504673,0.5831775700934579,0.48785046728971965
CLT,ATW,Envoy_operated,1412,True,0.0,0.3061359813084112,0.2898130841121495,0.3311214953271028,0.27598130841121493,0.2850467289719626,0.3177570093457944,0.23177570093457944,0.505607476635514,0.26542056074766357,0.2308411214953271
CLT,AUS,AA_mainline,7200,True,0.0,0.4842089719626168,0.3917757009345795,0.5300934579439252,0.5102803738317757,0.30934579439252335,0.594392523364486,0.48598130841121495,0.7121495327102804,0.25327102803738316,0.5495327102803739
CLT,AVL,AA_mainline,1252,True,0.0,0.7973557009345794,0.608411214953271,0.8306542056074766,0.854392523364486,0.8299065420560747,0.9261682242990654,0.8514018691588785,0.9102803738317757,0.3252336448598131,0.9401869158878504
CLT,AVL,Envoy_operated,1228,True,0.0,0.21351621495327097,0.15032710280373832,0.25705607476635517,0.20247663551401868,0.2691588785046729,0.1252336448598131,0.09252336448598131,0.5523364485981308,0.05560747663551402,0.18598130841121496
CLT,AVL,PSA_operated,4702,True,0.0,0.525338691588785,0.47588785046728976,0.49869158878504677,0.582803738317757,0.8962616822429906,0.26635514018691586,0.40841121495327104,0.5093457943925234,0.40186915887850466,0.6691588785046729
CLT,AVP,AA_mainline,2155,True,0.0,0.5197300934579439,0.41495327102803736,0.6014953271028037,0.5461682242990654,0.17476635514018693,0.6504672897196262,0.7383177570093458,0.7102803738317757,0.25794392523364484,0.585981308411215
CLT,AVP,PSA_operated,1851,True,0.0,0.4159710280373832,0.3878504672897196,0.4031775700934579,0.42897196261682247,0.708411214953271,0.22429906542056074,0.27850467289719627,0.4897196261682243,0.34579439252336447,0.4485981308411215
CLT,BDL,AA_mainline,7231,True,0.0,0.3547438317757009,0.2726168224299066,0.41280373831775696,0.35149532710280373,0.21495327102803738,0.41682242990654206,0.4570093457943925,0.5429906542056074,0.14953271028037382,0.3467289719626168
CLT,BGR,AA_mainline,692,True,0.0,0.2939061214953271,0.21948598130841124,0.3695794392523365,0.2779906542056075,0.0514018691588785,0.38317757009345793,0.43177570093457945,0.5345794392523364,0.10794392523364486,0.2542056074766355
CLT,BGR,PSA_operated,127,True,0.0,0.13593060747663552,0.08733644859813085,0.15453271028037383,0.1035981308411215,0.3621495327102804,0.018691588785046728,0.23878504672897197,0.1261682242990654,0.014485981308411215,0.05514018691588785
CLT,BHM,AA_mainline,736,True,0.0,0.32927144859813084,0.2683644859813084,0.38929906542056075,0.3474299065420561,0.19532710280373833,0.2691588785046729,0.685981308411215,0.27289719626168224,0.17710280373831774,0.3747663551401869
CLT,BHM,Envoy_operated,683,True,0.0,0.10508331775700933,0.1338785046728972,0.11855140186915887,0.08434579439252336,0.08411214953271028,0.038317757009345796,0.14672897196261683,0.1308411214953271,0.17710280373831774,0.05327102803738318
CLT,BHM,PSA_operated,6963,True,0.0,0.4837415887850467,0.5167289719626168,0.48663551401869154,0.47000000000000003,0.5037383177570094,0.4,0.36074766355140186,0.6214953271028038,0.5663551401869159,0.44953271028037384
CLT,BHM,SkyWest_unresolved,234,True,0.0,0.3379959345794392,0.22892523364485984,0.39116822429906545,0.433785046728972,0.2602803738317757,0.1822429906542056,0.9383177570093458,0.003738317757009346,0.06542056074766354,0.577570093457944
CLT,BNA,AA_mainline,7923,True,0.0,0.5533816822429906,0.5308411214953271,0.5957009345794393,0.5514018691588785,0.30093457943925234,0.6542056074766355,0.5738317757009346,0.7448598130841122,0.497196261682243,0.5485981308411215
CLT,BNA,Envoy_operated,356,True,0.0,0.2657073364485981,0.2573364485981309,0.2057476635514019,0.2752803738317757,0.7714953271028038,0.056074766355140186,0.058878504672897194,0.17289719626168223,0.24485981308411214,0.2897196261682243
CLT,BNA,PSA_operated,4316,True,0.0,0.5462151401869159,0.6151401869158879,0.5237383177570094,0.5239252336448599,0.6149532710280374,0.4719626168224299,0.29813084112149535,0.6822429906542056,0.7186915887850467,0.49065420560747663
CLT,BOS,AA_mainline,11294,True,0.0,0.4019495327102804,0.3297196261682243,0.4577570093457944,0.3783177570093458,0.2457943925233645,0.5177570093457944,0.4532710280373832,0.6299065420560748,0.22149532710280373,0.3429906542056075
CLT,BOS,Republic_unresolved,5725,True,0.0,0.26999168224299064,0.24158878504672895,0.2907476635514019,0.21766355140186916,0.3719626168224299,0.26542056074766357,0.5158878504672897,0.1280373831775701,0.19906542056074766,0.13925233644859814
CLT,BTR,Envoy_operated,439,True,0.0,0.18399317757009345,0.13728971962616823,0.17953271028037382,0.1825233644859813,0.4532710280373832,0.05700934579439252,0.10841121495327102,0.23738317757009345,0.06728971962616823,0.18037383177570093
CLT,BTR,PSA_operated,2960,True,0.0,0.4055328037383177,0.2638317757009346,0.47654205607476635,0.3950467289719626,0.35700934579439253,0.4785046728971963,0.5906542056074766,0.5757009345794393,0.0514018691588785,0.3794392523364486
CLT,BTV,AA_mainline,218,True,0.0,0.4407423364485981,0.2701869158878505,0.578411214953271,0.38925233644859814,0.06542056074766354,0.6817757009345794,0.8794392523364486,0.6906542056074766,0.014485981308411215,0.3121495327102804
CLT,BTV,PSA_operated,2408,True,0.0,0.4183858411214953,0.3820093457943925,0.42892523364485974,0.43378504672897195,0.5018691588785047,0.3336448598130841,0.5700934579439252,0.31962616822429907,0.3275700934579439,0.4570093457943925
CLT,BUF,AA_mainline,4785,True,0.0,0.4585807943925233,0.3902336448598131,0.503411214953271,0.4799532710280374,0.3280373831775701,0.48130841121495327,0.5238317757009345,0.6177570093457944,0.28785046728971964,0.5121495327102804
CLT,BWI,AA_mainline,7926,True,0.0,0.5080455140186915,0.49392523364485985,0.5258878504672897,0.5178504672897196,0.40373831775700936,0.5327102803738317,0.47102803738317756,0.6345794392523364,0.47289719626168225,0.5327102803738317
CLT,BWI,PSA_operated,282,True,0.0,0.3038769626168224,0.19556074766355144,0.3486448598130841,0.2884579439252337,0.5785046728971963,0.11401869158878504,0.4439252336448598,0.3878504672897196,0.033177570093457946,0.26542056074766357
CLT,BZN,AA_mainline,164,True,0.0,0.39439350467289713,0.2571495327102804,0.5263084112149532,0.2859345794392524,0.02102803738317757,0.7214953271028037,0.7093457943925233,0.7392523364485981,0.0514018691588785,0.1233644859813084
CLT,CAE,PSA_operated,3681,True,0.0,0.3297388317757009,0.25668224299065423,0.3729439252336449,0.3316355140186916,0.34766355140186916,0.27289719626168224,0.39065420560747666,0.4850467289719626,0.14719626168224298,0.33457943925233646
CLT,CAK,PSA_operated,5319,True,0.0,0.5471499065420561,0.42317757009345797,0.6450467289719626,0.5364485981308411,0.16728971962616823,0.7728971962616823,0.8037383177570093,0.780373831775701,0.23738317757009345,0.5205607476635514
CLT,CHA,Envoy_operated,124,True,0.0,0.8465867289719625,0.8577570093457945,0.7611214953271028,0.8955140186915888,0.9887850467289719,0.9794392523364486,0.2691588785046729,0.997196261682243,0.874766355140187,0.9691588785046729
CLT,CHA,PSA_operated,2482,True,0.0,0.3522511214953271,0.3122429906542056,0.3600934579439253,0.37280373831775704,0.5186915887850467,0.19439252336448598,0.3532710280373832,0.39065420560747666,0.2523364485981308,0.40373831775700936
CLT,CHA,SkyWest_unresolved,340,True,0.0,0.6135183177570094,0.7413084112149533,0.5773831775700935,0.591214953271028,0.3322429906542056,0.8102803738317756,0.9654205607476636,0.08130841121495327,0.9331775700934579,0.5579439252336449
CLT,CHO,PSA_operated,134,True,0.0,0.37047906542056075,0.6011214953271028,0.2755140186915888,0.2988785046728972,0.8093457943925234,0.00794392523364486,0.2102803738317757,0.056074766355140186,0.947196261682243,0.19158878504672897
CLT,CHS,AA_mainline,7860,True,0.0,0.4410539252336449,0.35915887850467293,0.4916822429906542,0.47579439252336453,0.3233644859813084,0.4224299065420561,0.42149532710280374,0.7140186915887851,0.23644859813084113,0.5280373831775701
CLT,CHS,Envoy_operated,330,True,0.0,0.10142214953271028,0.0666355140186916,0.07392523364485983,0.09,0.45093457943925236,0.004672897196261682,0.008411214953271028,0.05700934579439252,0.014485981308411215,0.07289719626168224
CLT,CHS,PSA_operated,2887,True,0.0,0.30613598130841124,0.22476635514018692,0.31467289719626174,0.32009345794392524,0.5719626168224299,0.16542056074766356,0.13457943925233645,0.5205607476635514,0.102803738317757,0.3411214953271028
CLT,CID,AA_mainline,1624,True,0.0,0.7140057009345794,0.7004672897196262,0.7350467289719627,0.7711214953271028,0.48317757009345796,0.7289719626168224,0.905607476635514,0.6280373831775701,0.680373831775701,0.8570093457943925
CLT,CID,PSA_operated,352,True,0.0,0.24007915887850467,0.16626168224299065,0.2681308411214953,0.22738317757009346,0.4135514018691589,0.14205607476635515,0.18691588785046728,0.4336448598130841,0.05560747663551402,0.20841121495327103
CLT,CLE,AA_mainline,6714,True,0.0,0.44027495327102795,0.31644859813084114,0.5039252336448597,0.4532710280373832,0.3149532710280374,0.5233644859813084,0.5261682242990654,0.6728971962616822,0.1308411214953271,0.47289719626168225
CLT,CLE,PSA_operated,310,True,0.0,0.693518738317757,0.7246261682242991,0.6360280373831777,0.7692990654205607,0.9037383177570093,0.5018691588785047,0.15233644859813084,0.9476635514018692,0.7714953271028038,0.883177570093458
CLT,CMH,AA_mainline,4847,True,0.0,0.4977630841121495,0.38233644859813093,0.575981308411215,0.5113084112149533,0.2588785046728972,0.5990654205607476,0.6990654205607477,0.6878504672897197,0.20934579439252338,0.5317757009345795
