dimension,row_count,check
2024-01,1078.0,bts_rows_by_month
2024-02,1054.0,bts_rows_by_month
2024-03,1217.0,bts_rows_by_month
2024-04,1176.0,bts_rows_by_month
2024-05,1170.0,bts_rows_by_month
2024-06,1222.0,bts_rows_by_month
2024-07,1316.0,bts_rows_by_month
2024-08,1259.0,bts_rows_by_month
2024-09,1167.0,bts_rows_by_month
2024-10,1248.0,bts_rows_by_month
2024-11,1232.0,bts_rows_by_month
2024-12,1248.0,bts_rows_by_month
2025-01,1015.0,bts_rows_by_month
2025-02,892.0,bts_rows_by_month
2025-03,1045.0,bts_rows_by_month
2025-04,1167.0,bts_rows_by_month
2025-05,1418.0,bts_rows_by_month
2025-06,1363.0,bts_rows_by_month
2025-07,1381.0,bts_rows_by_month
2025-08,1360.0,bts_rows_by_month
2025-09,1287.0,bts_rows_by_month
2025-10,1377.0,bts_rows_by_month
2025-11,1360.0,bts_rows_by_month
2025-12,1281.0,bts_rows_by_month
total_flights,29333.0,weather_join
dep_wx_matched,29129.0,weather_join
arr_wx_matched,29265.0,weather_join
dep_match_rate,0.993,weather_join
arr_match_rate,0.9977,weather_join
total_cancellations,751.0,cancellation_qa
weather_cancellations_bts_code_B,567.0,cancellation_qa
weather_bucket,0.0,null_rate
aa_regional_basket/adverse/baseline,610.0,sample_size_by_bucket
aa_regional_basket/adverse/recent,720.0,sample_size_by_bucket
aa_regional_basket/benign/baseline,7079.0,sample_size_by_bucket
aa_regional_basket/benign/recent,7504.0,sample_size_by_bucket
aa_regional_basket/marginal/baseline,1109.0,sample_size_by_bucket
aa_regional_basket/marginal/recent,1009.0,sample_size_by_bucket
aa_regional_basket/unknown/recent,23.0,sample_size_by_bucket
dl_peer_basket/adverse/baseline,438.0,sample_size_by_bucket
dl_peer_basket/adverse/recent,311.0,sample_size_by_bucket
dl_peer_basket/benign/baseline,4031.0,sample_size_by_bucket
dl_peer_basket/benign/recent,2868.0,sample_size_by_bucket
dl_peer_basket/marginal/baseline,694.0,sample_size_by_bucket
dl_peer_basket/marginal/recent,543.0,sample_size_by_bucket
dl_peer_basket/unknown/recent,7.0,sample_size_by_bucket
ua_peer_basket/adverse/baseline,32.0,sample_size_by_bucket
ua_peer_basket/adverse/recent,172.0,sample_size_by_bucket
ua_peer_basket/benign/baseline,325.0,sample_size_by_bucket
ua_peer_basket/benign/recent,1580.0,sample_size_by_bucket
ua_peer_basket/marginal/baseline,69.0,sample_size_by_bucket
ua_peer_basket/marginal/recent,206.0,sample_size_by_bucket
ua_peer_basket/unknown/recent,3.0,sample_size_by_bucket
