dimension,row_count,check
total_flights,6152599.0,row_count
Other_or_non_AA,2258693.0,operator_class_counts
AA_mainline,1943962.0,operator_class_counts
SkyWest_unresolved,606125.0,operator_class_counts
Envoy_operated,568329.0,operator_class_counts
PSA_operated,476691.0,operator_class_counts
Republic_unresolved,298799.0,operator_class_counts
DFW,1186156.0,hub_family_counts
ORD,1131482.0,hub_family_counts
CLT,770451.0,hub_family_counts
PHX,722022.0,hub_family_counts
LAX,686522.0,hub_family_counts
DCA,518567.0,hub_family_counts
JFK,400577.0,hub_family_counts
MIA,382727.0,hub_family_counts
PHL,354095.0,hub_family_counts
weather_bucket,0.0,null_rate
