market_bucket,weather_bucket,period_flag,flights_total,cancelled_count,operated_count,severe_delay_count,avg_dep_delay_operated,cancellation_rate,severe_delay_rate
aa_regional_basket,adverse,baseline,610,50,553,151,56.86,0.082,0.2731
aa_regional_basket,adverse,recent,720,84,630,177,48.89,0.1167,0.281
aa_regional_basket,benign,baseline,7079,102,6973,516,12.58,0.0144,0.074
aa_regional_basket,benign,recent,7504,203,7293,683,15.01,0.0271,0.0937
aa_regional_basket,marginal,baseline,1109,55,1050,148,21.46,0.0496,0.141
aa_regional_basket,marginal,recent,1009,76,930,125,22.29,0.0753,0.1344
aa_regional_basket,unknown,recent,23,0,23,1,11.61,0.0,0.0435
dl_peer_basket,adverse,baseline,438,13,420,56,24.97,0.0297,0.1333
dl_peer_basket,adverse,recent,311,12,293,53,24.09,0.0386,0.1809
dl_peer_basket,benign,baseline,4031,38,3991,166,5.07,0.0094,0.0416
dl_peer_basket,benign,recent,2868,43,2821,191,11.5,0.015,0.0677
dl_peer_basket,marginal,baseline,694,19,671,52,14.67,0.0274,0.0775
dl_peer_basket,marginal,recent,543,14,527,46,17.9,0.0258,0.0873
dl_peer_basket,unknown,recent,7,0,7,0,1.71,0.0,0.0
ua_peer_basket,adverse,baseline,32,2,30,10,68.07,0.0625,0.3333
ua_peer_basket,adverse,recent,172,11,161,34,41.05,0.064,0.2112
ua_peer_basket,benign,baseline,325,4,321,25,11.6,0.0123,0.0779
ua_peer_basket,benign,recent,1580,16,1564,138,12.52,0.0101,0.0882
ua_peer_basket,marginal,baseline,69,2,64,12,38.31,0.029,0.1875
ua_peer_basket,marginal,recent,206,7,199,32,25.13,0.034,0.1608
ua_peer_basket,unknown,recent,3,0,3,0,-5.33,0.0,0.0
